run,rho_MBD,rho_DDD
1,0.9924642005331017,1.000401904694373
2,0.9924642005331017,0.9999645896847693
3,0.9924642005331017,0.999890800165012
4,0.9924642005331017,1.1150283941575685
5,0.9924642005331017,0.9998424035152582
6,0.9924642005331017,0.9999296409148706
7,0.9924642005331017,0.9999831411752228
8,0.9924642005331017,0.9997946462666225
9,0.9924642005331017,0.9999350654662997
10,0.9924642005331017,0.9998395413492287
11,0.9924642005331017,1.0006210834211824
12,0.9924642005331017,0.9998343031793953
13,0.9924642005331017,1.0000041793778298
14,0.9924642005331017,0.9998921672255244
15,0.9924642005331017,0.9996527496667641
