run,time_MBD,time_DDD
1,0.3393452000000252,18.812131100001352
2,0.2862758000010217,21.161988600000768
3,0.2698601000010967,18.06376529999943
4,0.24229059999925084,22.218560499999512
5,0.2794347999988531,22.06144730000051
6,0.2699358999998367,18.465081600001213
7,0.25942419999955746,22.61409260000073
8,0.23450299999967683,18.734656799999357
9,0.25613130000056117,18.6542343000001
10,0.13958999999886146,20.595716100000573
11,0.5870519000000058,19.678232500000377
12,0.25989060000028985,19.531221600000208
13,0.3185761000004277,19.9610603000001
14,0.36878799999976764,21.330476299999646
15,0.26392069999928935,20.178798999999344
