run,snr_MBD,snr_DDD
1,0.3566244449219588,0.35656239523247546
2,-4.464265214059263,-9.018419436161953
3,-2.100366804453151,-2.953088010144655
4,-4.376410451875043,4.190438249966676
5,0.8787320589542401,-0.24900242227062538
6,-1.6197761161987947,-0.31448062187636106
7,-4.268642326526361,1.1467505463405279
8,-3.092261055942929,-3.2298947366348734
9,-7.263294464083043,0.7593998690229589
10,0.4128754660778987,-3.711906327784982
11,-1.3980993818323184,0.807056343399535
12,-5.737261541851558,-7.565859923972617
13,-2.9319450397849134,0.665133504924962
14,-2.302412975486994,-0.47395782687811394
15,-1.1173221616851539,-2.60419219316296
16,-0.3948162094312951,-37.04275476764732
17,-3.5998017880724653,-5.959379370682026
18,-0.5079276748981569,-33.03008105625685
19,-2.6031336757999233,-9.160251697136207
20,-8.640360061007621,-19.682261396744664
21,-1.341166868147596,-12.153615264112132
22,-1.63673597428448,-6.023606366308992
23,-3.846976325445917,-5.80557572218426
24,-2.1440061577989984,-5.765185506697171
25,-5.403461414355214,-3.506535397797175
26,-7.874163044082822,-6.210006899809688
27,0.00754208241977282,-0.04389916052349825
28,-7.047562095179757,-3.5292151636747633
29,1.6657416423377012,-4.560429077548118
30,-3.22129741452902,-5.104885769418697
31,-3.223387503976119,-35.888284895089534
32,-4.397151481250634,-9.219988039613789
33,1.1515707681201386,-1.3958992374616486
34,0.07640060047172186,-6.834833564380832
35,-2.504479503704923,-0.8941256091881767
36,-2.7841312307836343,-6.111189048980857
37,-4.3634325074460625,-2.0203767421633585
38,-5.56035691529747,-3.6736105226406037
39,-4.135078484374373,-5.476357258572824
40,0.37341468154552276,-6.657705802445964
41,-1.64733415105922,-5.823668312983315
42,-1.4072054572595647,-2.2608771920113266
43,-4.473232542234583,-8.568406593852519
44,-1.861285615270814,-11.854023307082011
45,-4.517861026120073,-8.594788219632267
46,0.6179510473961416,-1.5042111739268051
47,-5.337812225344772,-0.28985151052483826
48,-3.459766720570059,-4.732059611169578
49,-6.014617020863149,-5.166453069317858
50,-2.0131789938807434,-33.61794027236527
51,0.5599240941621288,-3.605919225963494
52,-2.893182835147456,-2.2365167979523095
53,-3.643401910343256,0.14432830569137572
54,-3.636020379810347,-0.3141200934434515
55,-0.8190135237482875,-28.625463545478617
56,-5.549276320345509,-6.058184026188357
57,-0.38752652811161753,-3.5753059790489115
58,-3.544307091899104,-8.706828408985627
59,-1.2952970592798057,-4.418976274586047
60,-3.642606338377687,-2.097883358700113
61,-5.566438144917947,-6.959744429821088
62,2.0531984310413574,-5.2109376057908765
63,-5.261137962128425,0.05721497761157921
64,-4.324144407374493,-2.352651179387796
65,-1.2346971696007132,-3.363126461094712
66,-3.6462427172462206,1.5369586637040942
67,-1.376452078860852,2.3380515301211098
68,-0.7999776997403649,-3.10950143147175
69,-4.700707166279709,0.8544289356857244
70,-1.885256532661054,-1.7814619535516587
71,-1.0440333313761037,-0.3604831101890259
72,-0.8442453311676691,-3.47730437835319
73,-3.2255190236353344,-4.2511346376682795
74,-0.7424462576745525,2.2209244972566076
75,-3.2460275926704014,-2.8838596249533435
76,-1.179521721730385,-6.1554222873565125
77,-2.1315401880815967,1.3884916425779006
78,-4.243618552091889,-20.007969984450533
79,-5.535800214542169,-2.56492030335751
80,-4.675677358852024,-5.499305625680492
81,-5.18794271416859,-6.227634752116424
82,-7.60611086622845,-0.4576762562014786
83,-3.1154094081699766,-2.9866401715954867
84,-2.334951811315453,-5.280509135299384
85,-1.2359447154186634,-13.974627959289263
86,-4.933918221520633,1.288475925616975
87,-4.02292811942671,-3.089906057392477
88,-2.197028219903532,-0.43361699681493604
89,-9.055698433157293,-4.931043428573655
90,-6.536586983028037,0.3181537392311145
91,-8.4325188743292,-5.042549164987546
92,-3.0912410444554164,-2.539990244123028
93,-2.196105912547258,-4.276706709298602
94,-1.4213147998568456,-7.9508767117876245
95,-4.075170708836231,-3.545681939586384
96,-2.392716306135979,-7.210379968911518
97,-3.239117163900694,-3.187293706306067
98,-1.2547429557925587,-10.267932431937279
99,-6.176459917718329,-1.4492614371728043
100,-1.716377285618215,-8.210124560866483
