run,c_MBD,c_DDD
1,8.504921395827912,249137187.3429018
2,5.402419714432226,2267711810.176497
3,6.484807262362614,4311088542.021371
4,7.739100637783453,504185659.31183374
5,5.52449437456307,248392694.53976902
6,5.410156769227811,11788298461.29767
7,7.965171408151863,3701663237.8381634
8,6.358091386295334,3.9779286313794833
9,4.42959486420332,5.289527270471179
10,7.1837888060069,69808936.50364643
11,7.822939790134636,1805735512.9663908
12,7.489965169544928,4.756199885154878
13,5.0993403344851655,5.1189186928165675
14,6.5981405969668225,1024617848.0870638
15,4.131862337890348,720440210.7673218
16,5.663222533943516,129908398767.22816
17,7.860200950059679,5.2069214698145005
18,6.833499931742177,774748474.5743462
19,6.435425727199988,962446.7889608492
20,5.724494357275959,139043520.83329862
